          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0401    0.0401 |
    1.000   100   101 |    3.2195    3.2596 |
    2.000   100   201 |    2.9550    6.2145 |
    3.000   100   301 |    2.7730    8.9875 |
    4.000   100   401 |    2.2237   11.2112 |
    5.000   100   501 |    2.3203   13.5315 |
    6.000   100   601 |    2.2128   15.7443 |
    7.000   100   701 |    2.2319   17.9762 |
    8.000   100   801 |    2.1958   20.1720 |
    9.000   100   901 |    2.3087   22.4807 |
   10.000   100  1001 |    2.3189   24.7997 |
   11.000   100  1101 |    2.2861   27.0858 |
   12.000   100  1201 |    2.3482   29.4340 |
   13.000   100  1301 |    2.5458   31.9798 |
   14.000   100  1401 |    2.3304   34.3102 |
   15.000   100  1501 |    2.1700   36.4802 |
   16.000   100  1601 |    2.1504   38.6306 |
   17.000   100  1701 |    2.2287   40.8594 |
   18.000   100  1801 |    2.1847   43.0441 |
   19.000   100  1901 |    2.1396   45.1836 |
   20.000   100  2001 |    2.1288   47.3125 |
