          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0004    0.0004 |
    1.000   200   201 |    0.0474    0.0478 |
    2.000   200   401 |    0.0707    0.1184 |
    3.000   200   601 |    0.0934    0.2118 |
    4.000   200   801 |    0.0818    0.2936 |
    5.000   200  1001 |    0.0844    0.3780 |
    6.000   200  1201 |    0.0882    0.4661 |
    7.000   200  1401 |    0.0929    0.5590 |
    8.000   200  1601 |    0.1093    0.6683 |
    9.000   200  1801 |    0.1162    0.7845 |
   10.000   200  2001 |    0.1074    0.8918 |
   11.000   200  2201 |    0.0993    0.9911 |
   12.000   200  2401 |    0.0958    1.0869 |
   13.000   200  2601 |    0.0780    1.1649 |
   14.000   200  2801 |    0.0711    1.2360 |
   15.000   200  3001 |    0.0579    1.2939 |
   16.000   200  3201 |    0.0547    1.3487 |
   17.000   200  3401 |    0.0501    1.3988 |
   18.000   200  3601 |    0.0420    1.4408 |
   19.000   200  3801 |    0.0414    1.4823 |
   20.000   200  4001 |    0.0397    1.5219 |
