          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0159    0.0159    0.0000 |
    1.000     0     0     0.0      0      0 |  200   201    0.2124    0.0011    0.0000 |
    2.000     0    12    11.1   2228   2228 |  200   401    1.0165    0.0051    0.0005 |
    3.000    10    12    11.1   2223   4451 |  200   601    0.9743    0.0049    0.0004 |
    4.000    10    11    11.0   2199   6650 |  200   801    0.7184    0.0036    0.0003 |
    5.000    11    11    11.0   2200   8850 |  200  1001    0.8656    0.0043    0.0004 |
    6.000    10    12    11.0   2206  11056 |  200  1201    0.7177    0.0036    0.0003 |
    7.000     9    10     9.8   1964  13020 |  200  1401    0.6473    0.0032    0.0003 |
    8.000     8     9     8.8   1766  14786 |  200  1601    0.5884    0.0029    0.0003 |
    9.000     9     9     9.0   1800  16586 |  200  1801    0.5977    0.0030    0.0003 |
   10.000     8     9     8.1   1627  18213 |  200  2001    0.5913    0.0030    0.0004 |
   11.000     8     8     8.0   1600  19813 |  200  2201    0.5715    0.0029    0.0004 |
   12.000     8     8     8.0   1600  21413 |  200  2401    0.6040    0.0030    0.0004 |
   13.000     7     8     7.2   1441  22854 |  200  2601    0.5561    0.0028    0.0004 |
   14.000     7     7     7.0   1400  24254 |  200  2801    0.5225    0.0026    0.0004 |
   15.000     7     7     7.0   1400  25654 |  200  3001    0.4826    0.0024    0.0003 |
   16.000     7     7     7.0   1400  27054 |  200  3201    0.4766    0.0024    0.0003 |
   17.000     7     7     7.0   1400  28454 |  200  3401    0.4875    0.0024    0.0003 |
   18.000     7     7     7.0   1400  29854 |  200  3601    0.4677    0.0023    0.0003 |
   19.000     6     7     6.8   1362  31216 |  200  3801    0.4604    0.0023    0.0003 |
   20.000     6     6     6.0   1200  32416 |  200  4001    0.4155    0.0021    0.0003 |
