          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0004    0.0004    0.0000 |
    1.000     0     0     0.0      0      0 |  200   201    0.0336    0.0002    0.0000 |
    2.000     6     7     6.9   1371   1371 |  200   401    0.1271    0.0006    0.0001 |
    3.000     7     7     7.0   1400   2771 |  200   601    0.1371    0.0007    0.0001 |
    4.000     7     7     7.0   1400   4171 |  200   801    0.0915    0.0005    0.0001 |
    5.000     7     7     7.0   1400   5571 |  200  1001    0.0917    0.0005    0.0001 |
    6.000     6     7     6.7   1337   6908 |  200  1201    0.0921    0.0005    0.0001 |
    7.000     6     6     6.0   1200   8108 |  200  1401    0.0884    0.0004    0.0001 |
    8.000     6     6     6.0   1200   9308 |  200  1601    0.0814    0.0004    0.0001 |
    9.000     6     6     6.0   1200  10508 |  200  1801    0.0908    0.0005    0.0001 |
   10.000     6     6     6.0   1200  11708 |  200  2001    0.0880    0.0004    0.0001 |
   11.000     6     6     6.0   1200  12908 |  200  2201    0.0880    0.0004    0.0001 |
   12.000     6     6     6.0   1200  14108 |  200  2401    0.0891    0.0004    0.0001 |
   13.000     5     6     5.3   1064  15172 |  200  2601    0.0793    0.0004    0.0001 |
   14.000     5     5     5.0   1000  16172 |  200  2801    0.0750    0.0004    0.0001 |
   15.000     5     5     5.0   1000  17172 |  200  3001    0.0706    0.0004    0.0001 |
   16.000     5     5     5.0   1000  18172 |  200  3201    0.0701    0.0004    0.0001 |
   17.000     5     5     5.0   1000  19172 |  200  3401    0.0693    0.0003    0.0001 |
   18.000     5     5     5.0   1000  20172 |  200  3601    0.0680    0.0003    0.0001 |
   19.000     5     5     5.0   1000  21172 |  200  3801    0.0681    0.0003    0.0001 |
   20.000     5     5     5.0   1000  22172 |  200  4001    0.0678    0.0003    0.0001 |
